cols,rows,inserted_rows,start_op,end_op,time_diff,operation
1,100,100,2023-02-03 07:42:02.832929,2023-02-03 07:42:02.838674,0.005745,INSERT
1,100,100,2023-02-03 07:42:02.853426,2023-02-03 07:42:02.853426,0.0,SELECT
1,300,200,2023-02-03 07:42:02.855421,2023-02-03 07:42:02.865166,0.009745,INSERT
1,300,200,2023-02-03 07:42:02.866132,2023-02-03 07:42:02.867129,0.000997,SELECT
1,600,300,2023-02-03 07:42:02.868158,2023-02-03 07:42:02.883086,0.014928,INSERT
1,600,300,2023-02-03 07:42:02.885081,2023-02-03 07:42:02.885081,0.0,SELECT
1,1000,400,2023-02-03 07:42:02.887077,2023-02-03 07:42:02.906026,0.018949,INSERT
1,1000,400,2023-02-03 07:42:02.907023,2023-02-03 07:42:02.907023,0.0,SELECT
1,1500,500,2023-02-03 07:42:02.909017,2023-02-03 07:42:02.932953,0.023936,INSERT
1,1500,500,2023-02-03 07:42:02.934948,2023-02-03 07:42:02.934948,0.0,SELECT
1,2100,600,2023-02-03 07:42:02.936943,2023-02-03 07:42:02.965373,0.02843,INSERT
1,2100,600,2023-02-03 07:42:02.967368,2023-02-03 07:42:02.967368,0.0,SELECT
1,2800,700,2023-02-03 07:42:02.968366,2023-02-03 07:42:03.001277,0.032911,INSERT
1,2800,700,2023-02-03 07:42:03.003273,2023-02-03 07:42:03.003273,0.0,SELECT
1,3600,800,2023-02-03 07:42:03.005267,2023-02-03 07:42:03.043166,0.037899,INSERT
1,3600,800,2023-02-03 07:42:03.045160,2023-02-03 07:42:03.045160,0.0,SELECT
1,4500,900,2023-02-03 07:42:03.047156,2023-02-03 07:42:03.090042,0.042886,INSERT
1,4500,900,2023-02-03 07:42:03.092037,2023-02-03 07:42:03.092037,0.0,SELECT
1,5500,1000,2023-02-03 07:42:03.094032,2023-02-03 07:42:03.141904,0.047872,INSERT
1,5500,1000,2023-02-03 07:42:03.143899,2023-02-03 07:42:03.144896,0.000997,SELECT
1,6600,1100,2023-02-03 07:42:03.145893,2023-02-03 07:42:03.199752,0.053859,INSERT
1,6600,1100,2023-02-03 07:42:03.201746,2023-02-03 07:42:03.201746,0.0,SELECT
1,7800,1200,2023-02-03 07:42:03.203741,2023-02-03 07:42:03.265576,0.061835,INSERT
1,7800,1200,2023-02-03 07:42:03.267571,2023-02-03 07:42:03.267571,0.0,SELECT
1,9100,1300,2023-02-03 07:42:03.269565,2023-02-03 07:42:03.335389,0.065824,INSERT
1,9100,1300,2023-02-03 07:42:03.338381,2023-02-03 07:42:03.338381,0.0,SELECT
1,10500,1400,2023-02-03 07:42:03.340377,2023-02-03 07:42:03.422973,0.082596,INSERT
1,10500,1400,2023-02-03 07:42:03.424967,2023-02-03 07:42:03.424967,0.0,SELECT
1,12000,1500,2023-02-03 07:42:03.426962,2023-02-03 07:42:03.502760,0.075798,INSERT
1,12000,1500,2023-02-03 07:42:03.504754,2023-02-03 07:42:03.504754,0.0,SELECT
1,13600,1600,2023-02-03 07:42:03.506749,2023-02-03 07:42:03.586536,0.079787,INSERT
1,13600,1600,2023-02-03 07:42:03.589527,2023-02-03 07:42:03.589527,0.0,SELECT
1,15300,1700,2023-02-03 07:42:03.591523,2023-02-03 07:42:03.676296,0.084773,INSERT
1,15300,1700,2023-02-03 07:42:03.679287,2023-02-03 07:42:03.679287,0.0,SELECT
1,17100,1800,2023-02-03 07:42:03.681282,2023-02-03 07:42:03.771043,0.089761,INSERT
1,17100,1800,2023-02-03 07:42:03.774035,2023-02-03 07:42:03.774035,0.0,SELECT
1,19000,1900,2023-02-03 07:42:03.777027,2023-02-03 07:42:03.870612,0.093585,INSERT
1,19000,1900,2023-02-03 07:42:03.874601,2023-02-03 07:42:03.874601,0.0,SELECT
1,21000,2000,2023-02-03 07:42:03.877593,2023-02-03 07:42:03.974334,0.096741,INSERT
1,21000,2000,2023-02-03 07:42:03.977326,2023-02-03 07:42:03.977326,0.0,SELECT
1,23100,2100,2023-02-03 07:42:03.980319,2023-02-03 07:42:04.081049,0.10073,INSERT
1,23100,2100,2023-02-03 07:42:04.084042,2023-02-03 07:42:04.084042,0.0,SELECT
1,25300,2200,2023-02-03 07:42:04.087033,2023-02-03 07:42:04.189759,0.102726,INSERT
1,25300,2200,2023-02-03 07:42:04.192751,2023-02-03 07:42:04.193748,0.000997,SELECT
1,27600,2300,2023-02-03 07:42:04.196739,2023-02-03 07:42:04.304452,0.107713,INSERT
1,27600,2300,2023-02-03 07:42:04.308442,2023-02-03 07:42:04.308442,0.0,SELECT
1,30000,2400,2023-02-03 07:42:04.312433,2023-02-03 07:42:04.430948,0.118515,INSERT
1,30000,2400,2023-02-03 07:42:04.433939,2023-02-03 07:42:04.434951,0.001012,SELECT
1,32500,2500,2023-02-03 07:42:04.437929,2023-02-03 07:42:04.559619,0.12169,INSERT
1,32500,2500,2023-02-03 07:42:04.563608,2023-02-03 07:42:04.563608,0.0,SELECT
1,35100,2600,2023-02-03 07:42:04.566600,2023-02-03 07:42:04.689274,0.122674,INSERT
1,35100,2600,2023-02-03 07:42:04.693264,2023-02-03 07:42:04.693264,0.0,SELECT
1,37800,2700,2023-02-03 07:42:04.697279,2023-02-03 07:42:04.825911,0.128632,INSERT
1,37800,2700,2023-02-03 07:42:04.829898,2023-02-03 07:42:04.829898,0.0,SELECT
1,40600,2800,2023-02-03 07:42:04.833888,2023-02-03 07:42:04.967530,0.133642,INSERT
1,40600,2800,2023-02-03 07:42:04.971519,2023-02-03 07:42:04.972517,0.000998,SELECT
1,43500,2900,2023-02-03 07:42:04.976061,2023-02-03 07:42:05.112695,0.136634,INSERT
1,43500,2900,2023-02-03 07:42:05.116684,2023-02-03 07:42:05.116684,0.0,SELECT
1,46500,3000,2023-02-03 07:42:05.121671,2023-02-03 07:42:05.265287,0.143616,INSERT
1,46500,3000,2023-02-03 07:42:05.269277,2023-02-03 07:42:05.269277,0.0,SELECT
1,49600,3100,2023-02-03 07:42:05.274264,2023-02-03 07:42:05.429115,0.154851,INSERT
1,49600,3100,2023-02-03 07:42:05.433104,2023-02-03 07:42:05.433104,0.0,SELECT
1,52800,3200,2023-02-03 07:42:05.438091,2023-02-03 07:42:05.589686,0.151595,INSERT
1,52800,3200,2023-02-03 07:42:05.594673,2023-02-03 07:42:05.594673,0.0,SELECT
1,56100,3300,2023-02-03 07:42:05.599660,2023-02-03 07:42:05.767211,0.167551,INSERT
1,56100,3300,2023-02-03 07:42:05.772198,2023-02-03 07:42:05.772198,0.0,SELECT
1,59500,3400,2023-02-03 07:42:05.777184,2023-02-03 07:42:05.942742,0.165558,INSERT
1,59500,3400,2023-02-03 07:42:05.947728,2023-02-03 07:42:05.947728,0.0,SELECT
1,63000,3500,2023-02-03 07:42:05.953712,2023-02-03 07:42:06.120772,0.16706,INSERT
1,63000,3500,2023-02-03 07:42:06.126757,2023-02-03 07:42:06.126757,0.0,SELECT
1,66600,3600,2023-02-03 07:42:06.131770,2023-02-03 07:42:06.302289,0.170519,INSERT
1,66600,3600,2023-02-03 07:42:06.308274,2023-02-03 07:42:06.308274,0.0,SELECT
1,70300,3700,2023-02-03 07:42:06.314258,2023-02-03 07:42:06.494169,0.179911,INSERT
1,70300,3700,2023-02-03 07:42:06.500180,2023-02-03 07:42:06.500180,0.0,SELECT
1,74100,3800,2023-02-03 07:42:06.506165,2023-02-03 07:42:06.689673,0.183508,INSERT
1,74100,3800,2023-02-03 07:42:06.695657,2023-02-03 07:42:06.695657,0.0,SELECT
1,78000,3900,2023-02-03 07:42:06.701641,2023-02-03 07:42:06.892255,0.190614,INSERT
1,78000,3900,2023-02-03 07:42:06.898239,2023-02-03 07:42:06.898239,0.0,SELECT
1,82000,4000,2023-02-03 07:42:06.905221,2023-02-03 07:42:07.095711,0.19049,INSERT
1,82000,4000,2023-02-03 07:42:07.101695,2023-02-03 07:42:07.101695,0.0,SELECT
1,86100,4100,2023-02-03 07:42:07.108703,2023-02-03 07:42:07.306149,0.197446,INSERT
1,86100,4100,2023-02-03 07:42:07.313130,2023-02-03 07:42:07.313130,0.0,SELECT
1,90300,4200,2023-02-03 07:42:07.320111,2023-02-03 07:42:07.527416,0.207305,INSERT
1,90300,4200,2023-02-03 07:42:07.534397,2023-02-03 07:42:07.534397,0.0,SELECT
1,94600,4300,2023-02-03 07:42:07.542375,2023-02-03 07:42:07.749068,0.206693,INSERT
1,94600,4300,2023-02-03 07:42:07.756050,2023-02-03 07:42:07.756050,0.0,SELECT
1,99000,4400,2023-02-03 07:42:07.764028,2023-02-03 07:42:07.974970,0.210942,INSERT
1,99000,4400,2023-02-03 07:42:07.981952,2023-02-03 07:42:07.981952,0.0,SELECT
1,103500,4500,2023-02-03 07:42:07.989931,2023-02-03 07:42:08.201755,0.211824,INSERT
1,103500,4500,2023-02-03 07:42:08.209734,2023-02-03 07:42:08.209734,0.0,SELECT
1,108100,4600,2023-02-03 07:42:08.218684,2023-02-03 07:42:08.442857,0.224173,INSERT
1,108100,4600,2023-02-03 07:42:08.451833,2023-02-03 07:42:08.451833,0.0,SELECT
