cols,rows,inserted_rows,start_op,end_op,time_diff,operation,file_size(KB)
1,100,100,2022-07-31 18:03:56.346697,2022-07-31 18:04:00.048014,3.701317,INSERT,160.0
1,100,100,2022-07-31 18:04:00.063387,2022-07-31 18:04:00.063387,0.0,SELECT,160.0
1,300,200,2022-07-31 18:04:00.063387,2022-07-31 18:04:07.452064,7.388677,INSERT,160.0
1,300,200,2022-07-31 18:04:07.452064,2022-07-31 18:04:07.467377,0.015313,SELECT,160.0
1,600,300,2022-07-31 18:04:07.467377,2022-07-31 18:04:18.789870,11.322493,INSERT,160.0
1,600,300,2022-07-31 18:04:18.789870,2022-07-31 18:04:18.789870,0.0,SELECT,160.0
1,1000,400,2022-07-31 18:04:18.789870,2022-07-31 18:04:33.615457,14.825587,INSERT,160.0
1,1000,400,2022-07-31 18:04:33.615457,2022-07-31 18:04:33.615457,0.0,SELECT,160.0
1,1500,500,2022-07-31 18:04:33.615457,2022-07-31 18:04:52.092861,18.477404,INSERT,160.0
1,1500,500,2022-07-31 18:04:52.092861,2022-07-31 18:04:52.092861,0.0,SELECT,160.0
1,2100,600,2022-07-31 18:04:52.108484,2022-07-31 18:05:14.296712,22.188228,INSERT,160.0
1,2100,600,2022-07-31 18:05:14.296712,2022-07-31 18:05:14.296712,0.0,SELECT,160.0
1,2800,700,2022-07-31 18:05:14.296712,2022-07-31 18:05:40.267239,25.970527,INSERT,160.0
1,2800,700,2022-07-31 18:05:40.267239,2022-07-31 18:05:40.267239,0.0,SELECT,160.0
1,3600,800,2022-07-31 18:05:40.282689,2022-07-31 18:06:09.803444,29.520755,INSERT,160.0
1,3600,800,2022-07-31 18:06:09.819091,2022-07-31 18:06:09.819091,0.0,SELECT,160.0
1,4500,900,2022-07-31 18:06:09.819091,2022-07-31 18:06:43.183876,33.364785,INSERT,160.0
1,4500,900,2022-07-31 18:06:43.183876,2022-07-31 18:06:43.199448,0.015572,SELECT,160.0
1,5500,1000,2022-07-31 18:06:43.199448,2022-07-31 18:07:20.178355,36.978907,INSERT,160.0
1,5500,1000,2022-07-31 18:07:20.178355,2022-07-31 18:07:20.178355,0.0,SELECT,160.0
1,6600,1100,2022-07-31 18:07:20.178355,2022-07-31 18:08:00.947121,40.768766,INSERT,160.0
1,6600,1100,2022-07-31 18:08:00.947121,2022-07-31 18:08:00.947121,0.0,SELECT,160.0
1,7800,1200,2022-07-31 18:08:00.947121,2022-07-31 18:08:45.359646,44.412525,INSERT,160.0
1,7800,1200,2022-07-31 18:08:45.359646,2022-07-31 18:08:45.359646,0.0,SELECT,160.0
1,9100,1300,2022-07-31 18:08:45.359646,2022-07-31 18:09:33.558534,48.198888,INSERT,160.0
1,9100,1300,2022-07-31 18:09:33.558534,2022-07-31 18:09:33.558534,0.0,SELECT,160.0
1,10500,1400,2022-07-31 18:09:33.558534,2022-07-31 18:10:25.295028,51.736494,INSERT,160.0
1,10500,1400,2022-07-31 18:10:25.295028,2022-07-31 18:10:25.310690,0.015662,SELECT,160.0
1,12000,1500,2022-07-31 18:10:25.310690,2022-07-31 18:11:20.943305,55.632615,INSERT,176.0
1,12000,1500,2022-07-31 18:11:20.943305,2022-07-31 18:11:20.943305,0.0,SELECT,176.0
1,13600,1600,2022-07-31 18:11:20.943305,2022-07-31 18:12:20.181672,59.238367,INSERT,196.0
1,13600,1600,2022-07-31 18:12:20.181672,2022-07-31 18:12:20.197293,0.015621,SELECT,196.0
1,15300,1700,2022-07-31 18:12:20.197293,2022-07-31 18:13:23.227159,63.029866,INSERT,220.0
1,15300,1700,2022-07-31 18:13:23.227159,2022-07-31 18:13:23.227159,0.0,SELECT,220.0
1,17100,1800,2022-07-31 18:13:23.227159,2022-07-31 18:14:29.845667,66.618508,INSERT,244.0
1,17100,1800,2022-07-31 18:14:29.861125,2022-07-31 18:14:29.876747,0.015622,SELECT,244.0
1,19000,1900,2022-07-31 18:14:29.876747,2022-07-31 18:15:45.459256,75.582509,INSERT,272.0
1,19000,1900,2022-07-31 18:15:45.459256,2022-07-31 18:15:45.474715,0.015459,SELECT,272.0
1,21000,2000,2022-07-31 18:15:45.474715,2022-07-31 18:16:59.168869,73.694154,INSERT,304.0
1,21000,2000,2022-07-31 18:16:59.168869,2022-07-31 18:16:59.168869,0.0,SELECT,304.0
1,23100,2100,2022-07-31 18:16:59.168869,2022-07-31 18:18:16.528253,77.359384,INSERT,332.0
1,23100,2100,2022-07-31 18:18:16.543688,2022-07-31 18:18:16.543688,0.0,SELECT,332.0
1,25300,2200,2022-07-31 18:18:16.543688,2022-07-31 18:19:37.962953,81.419265,INSERT,364.0
1,25300,2200,2022-07-31 18:19:37.962953,2022-07-31 18:19:37.978312,0.015359,SELECT,364.0
1,27600,2300,2022-07-31 18:19:37.978312,2022-07-31 18:21:02.841356,84.863044,INSERT,400.0
1,27600,2300,2022-07-31 18:21:02.841356,2022-07-31 18:21:02.841356,0.0,SELECT,400.0
1,30000,2400,2022-07-31 18:21:02.856789,2022-07-31 18:22:31.334992,88.478203,INSERT,436.0
1,30000,2400,2022-07-31 18:22:31.334992,2022-07-31 18:22:31.334992,0.0,SELECT,436.0
1,32500,2500,2022-07-31 18:22:31.334992,2022-07-31 18:24:03.596313,92.261321,INSERT,472.0
1,32500,2500,2022-07-31 18:24:03.596313,2022-07-31 18:24:03.596313,0.0,SELECT,472.0
1,35100,2600,2022-07-31 18:24:03.596313,2022-07-31 18:25:44.736831,101.140518,INSERT,508.0
1,35100,2600,2022-07-31 18:25:44.736831,2022-07-31 18:25:44.736831,0.0,SELECT,508.0
1,37800,2700,2022-07-31 18:25:44.736831,2022-07-31 18:27:24.466081,99.72925,INSERT,548.0
1,37800,2700,2022-07-31 18:27:24.466081,2022-07-31 18:27:24.481697,0.015616,SELECT,548.0
1,40600,2800,2022-07-31 18:27:24.481697,2022-07-31 18:29:07.866920,103.385223,INSERT,592.0
1,40600,2800,2022-07-31 18:29:07.882320,2022-07-31 18:29:07.882320,0.0,SELECT,592.0
1,43500,2900,2022-07-31 18:29:07.882320,2022-07-31 18:30:54.940747,107.058427,INSERT,632.0
1,43500,2900,2022-07-31 18:30:54.956106,2022-07-31 18:30:54.956106,0.0,SELECT,632.0
1,46500,3000,2022-07-31 18:30:54.956106,2022-07-31 18:32:45.883552,110.927446,INSERT,676.0
1,46500,3000,2022-07-31 18:32:45.883552,2022-07-31 18:32:45.899166,0.015614,SELECT,676.0
1,49600,3100,2022-07-31 18:32:45.899166,2022-07-31 18:34:40.338390,114.439224,INSERT,724.0
1,49600,3100,2022-07-31 18:34:40.353822,2022-07-31 18:34:40.369473,0.015651,SELECT,724.0
1,52800,3200,2022-07-31 18:34:40.369473,2022-07-31 18:36:43.548438,123.178965,INSERT,768.0
1,52800,3200,2022-07-31 18:36:43.548438,2022-07-31 18:36:43.564058,0.01562,SELECT,768.0
1,56100,3300,2022-07-31 18:36:43.564058,2022-07-31 18:38:45.538040,121.973982,INSERT,820.0
1,56100,3300,2022-07-31 18:38:45.538040,2022-07-31 18:38:45.553699,0.015659,SELECT,820.0
1,59500,3400,2022-07-31 18:38:45.553699,2022-07-31 18:40:51.355583,125.801884,INSERT,868.0
1,59500,3400,2022-07-31 18:40:51.355583,2022-07-31 18:40:51.371041,0.015458,SELECT,868.0
1,63000,3500,2022-07-31 18:40:51.371041,2022-07-31 18:43:00.927596,129.556555,INSERT,920.0
1,63000,3500,2022-07-31 18:43:00.927596,2022-07-31 18:43:00.943250,0.015654,SELECT,920.0
1,66600,3600,2022-07-31 18:43:00.943250,2022-07-31 18:45:14.022725,133.079475,INSERT,972.0
1,66600,3600,2022-07-31 18:45:14.022725,2022-07-31 18:45:14.038175,0.01545,SELECT,972.0
1,70300,3700,2022-07-31 18:45:14.038175,2022-07-31 19:08:47.376963,1413.338788,INSERT,1028.0
1,70300,3700,2022-07-31 19:08:47.387695,2022-07-31 19:08:47.404325,0.01663,SELECT,1028.0
1,74100,3800,2022-07-31 19:08:47.404325,2022-07-31 19:11:07.809655,140.40533,INSERT,1084.0
1,74100,3800,2022-07-31 19:11:07.825280,2022-07-31 19:11:07.825280,0.0,SELECT,1084.0
1,78000,3900,2022-07-31 19:11:07.825280,2022-07-31 19:13:31.908765,144.083485,INSERT,1140.0
1,78000,3900,2022-07-31 19:13:31.908765,2022-07-31 19:13:31.939844,0.031079,SELECT,1140.0
1,82000,4000,2022-07-31 19:13:31.939844,2022-07-31 19:15:59.792867,147.853023,INSERT,1200.0
1,82000,4000,2022-07-31 19:15:59.792867,2022-07-31 19:15:59.808519,0.015652,SELECT,1200.0
1,86100,4100,2022-07-31 19:15:59.808519,2022-07-31 19:18:31.507328,151.698809,INSERT,1260.0
1,86100,4100,2022-07-31 19:18:31.509324,2022-07-31 19:18:31.522289,0.012965,SELECT,1260.0
1,90300,4200,2022-07-31 19:18:31.523286,2022-07-31 19:21:15.951715,164.428429,INSERT,1320.0
1,90300,4200,2022-07-31 19:21:15.953717,2022-07-31 19:21:15.969675,0.015958,SELECT,1320.0
1,94600,4300,2022-07-31 19:21:15.972698,2022-07-31 19:23:54.842068,158.86937,INSERT,1384.0
1,94600,4300,2022-07-31 19:23:54.844064,2022-07-31 19:23:54.859024,0.01496,SELECT,1384.0
1,99000,4400,2022-07-31 19:23:54.861020,2022-07-31 19:26:38.218417,163.357397,INSERT,1448.0
1,99000,4400,2022-07-31 19:26:38.220413,2022-07-31 19:26:38.235373,0.01496,SELECT,1448.0
1,103500,4500,2022-07-31 19:26:38.237368,2022-07-31 19:29:24.430853,166.193485,INSERT,1516.0
1,103500,4500,2022-07-31 19:29:24.436842,2022-07-31 19:29:24.452799,0.015957,SELECT,1516.0
1,108100,4600,2022-07-31 19:29:24.454794,2022-07-31 19:32:22.557453,178.102659,INSERT,1584.0
1,108100,4600,2022-07-31 19:32:22.559449,2022-07-31 19:32:22.576403,0.016954,SELECT,1584.0
1,112800,4700,2022-07-31 19:32:22.577403,2022-07-31 19:35:16.128361,173.550958,INSERT,1652.0
1,112800,4700,2022-07-31 19:35:16.136305,2022-07-31 19:35:16.155251,0.018946,SELECT,1652.0
1,117600,4800,2022-07-31 19:35:16.156248,2022-07-31 19:38:13.705713,177.549465,INSERT,1724.0
1,117600,4800,2022-07-31 19:38:13.707706,2022-07-31 19:38:13.726655,0.018949,SELECT,1724.0
1,122500,4900,2022-07-31 19:38:13.728651,2022-07-31 19:41:19.219084,185.490433,INSERT,1796.0
1,122500,4900,2022-07-31 19:41:19.227064,2022-07-31 19:41:19.259012,0.031948,SELECT,1796.0
2,100,100,2022-07-31 19:41:19.343245,2022-07-31 19:41:23.416087,4.072842,INSERT,1796.0
2,100,100,2022-07-31 19:41:23.425108,2022-07-31 19:41:23.425108,0.0,SELECT,1796.0
2,300,200,2022-07-31 19:41:23.432090,2022-07-31 19:41:32.245343,8.813253,INSERT,1796.0
2,300,200,2022-07-31 19:41:32.248333,2022-07-31 19:41:32.248333,0.0,SELECT,1796.0
2,600,300,2022-07-31 19:41:32.250326,2022-07-31 19:41:45.085573,12.835247,INSERT,1796.0
2,600,300,2022-07-31 19:41:45.087568,2022-07-31 19:41:45.087568,0.0,SELECT,1796.0
2,1000,400,2022-07-31 19:41:45.088566,2022-07-31 19:41:59.923203,14.834637,INSERT,1796.0
2,1000,400,2022-07-31 19:41:59.926233,2022-07-31 19:41:59.926233,0.0,SELECT,1796.0
2,1500,500,2022-07-31 19:41:59.929222,2022-07-31 19:42:18.310115,18.380893,INSERT,1796.0
2,1500,500,2022-07-31 19:42:18.311116,2022-07-31 19:42:18.312113,0.000997,SELECT,1796.0
2,2100,600,2022-07-31 19:42:18.313109,2022-07-31 19:42:40.564457,22.251348,INSERT,1796.0
2,2100,600,2022-07-31 19:42:40.566449,2022-07-31 19:42:40.567467,0.001018,SELECT,1796.0
2,2800,700,2022-07-31 19:42:40.568444,2022-07-31 19:43:06.452255,25.883811,INSERT,1796.0
2,2800,700,2022-07-31 19:43:06.460171,2022-07-31 19:43:06.463162,0.002991,SELECT,1796.0
2,3600,800,2022-07-31 19:43:06.468150,2022-07-31 19:43:36.024148,29.555998,INSERT,1796.0
2,3600,800,2022-07-31 19:43:36.032169,2022-07-31 19:43:36.035165,0.002996,SELECT,1796.0
2,4500,900,2022-07-31 19:43:36.040155,2022-07-31 19:44:09.207959,33.167804,INSERT,1796.0
2,4500,900,2022-07-31 19:44:09.209957,2022-07-31 19:44:09.210953,0.000996,SELECT,1796.0
2,5500,1000,2022-07-31 19:44:09.211950,2022-07-31 19:44:46.079541,36.867591,INSERT,1796.0
2,5500,1000,2022-07-31 19:44:46.087527,2022-07-31 19:44:46.092511,0.004984,SELECT,1796.0
2,6600,1100,2022-07-31 19:44:46.096502,2022-07-31 19:45:26.801983,40.705481,INSERT,1796.0
2,6600,1100,2022-07-31 19:45:26.803981,2022-07-31 19:45:26.805974,0.001993,SELECT,1796.0
2,7800,1200,2022-07-31 19:45:26.806972,2022-07-31 19:46:11.076102,44.26913,INSERT,1796.0
2,7800,1200,2022-07-31 19:46:11.085077,2022-07-31 19:46:11.091061,0.005984,SELECT,1796.0
2,9100,1300,2022-07-31 19:46:11.095053,2022-07-31 19:46:59.126426,48.031373,INSERT,1796.0
2,9100,1300,2022-07-31 19:46:59.134411,2022-07-31 19:46:59.142388,0.007977,SELECT,1796.0
2,10500,1400,2022-07-31 19:46:59.147376,2022-07-31 19:47:50.850359,51.702983,INSERT,1796.0
2,10500,1400,2022-07-31 19:47:50.859343,2022-07-31 19:47:50.866323,0.00698,SELECT,1796.0
2,12000,1500,2022-07-31 19:47:50.870312,2022-07-31 19:48:46.420014,55.549702,INSERT,1796.0
2,12000,1500,2022-07-31 19:48:46.422014,2022-07-31 19:48:46.424008,0.001994,SELECT,1796.0
